iter	Passed	Remaining
446	1135	1405
447	1137	1401
448	1139	1398
449	1141	1395
450	1143	1392
451	1145	1389
452	1148	1386
453	1152	1385
454	1154	1382
455	1156	1380
456	1159	1377
457	1160	1373
458	1162	1370
459	1166	1369
460	1169	1367
461	1172	1365
462	1175	1363
463	1179	1362
464	1183	1361
465	1191	1364
466	1192	1361
467	1194	1357
468	1197	1356
469	1199	1352
470	1200	1348
471	1203	1345
472	1204	1342
473	1206	1338
474	1207	1334
475	1209	1331
476	1212	1329
477	1213	1325
478	1215	1321
479	1216	1317
480	1217	1313
481	1218	1309
482	1219	1305
483	1221	1301
484	1222	1297
485	1223	1294
486	1225	1290
487	1226	1286
488	1227	1283
489	1229	1279
490	1230	1275
491	1231	1271
492	1232	1267
493	1233	1263
494	1235	1260
495	1236	1256
496	1237	1252
497	1238	1248
498	1240	1245
499	1241	1241
500	1242	1237
501	1243	1233
502	1244	1230
503	1246	1226
504	1247	1222
505	1248	1218
506	1249	1215
507	1250	1211
508	1252	1207
509	1253	1204
510	1254	1200
511	1255	1196
512	1257	1193
513	1258	1189
514	1260	1186
515	1261	1183
516	1262	1179
517	1263	1175
518	1264	1172
519	1266	1168
520	1267	1165
521	1269	1162
522	1270	1158
523	1271	1155
524	1273	1152
525	1274	1148
526	1275	1145
527	1277	1141
528	1278	1138
529	1279	1134
530	1280	1131
531	1282	1127
532	1283	1124
533	1285	1121
534	1286	1118
535	1287	1114
536	1288	1111
537	1290	1107
538	1291	1104
539	1292	1100
540	1293	1097
541	1294	1094
542	1296	1090
543	1297	1087
544	1299	1084
545	1300	1081
546	1301	1077
547	1302	1074
548	1304	1071
549	1305	1067
550	1306	1064
551	1307	1061
552	1309	1058
553	1310	1054
554	1311	1051
555	1313	1048
556	1314	1045
557	1315	1042
558	1316	1038
559	1317	1035
560	1319	1032
561	1320	1029
562	1321	1025
563	1322	1022
564	1324	1019
565	1325	1016
566	1326	1012
567	1327	1009
568	1329	1006
569	1330	1003
570	1331	1000
571	1332	997
572	1333	994
573	1335	990
574	1336	987
575	1337	984
576	1338	981
577	1340	978
578	1341	975
579	1342	972
580	1343	969
581	1344	965
582	1346	962
583	1347	959
584	1348	956
585	1349	953
586	1350	950
587	1352	947
588	1353	944
589	1354	941
590	1356	938
591	1357	935
592	1359	932
593	1360	929
594	1361	926
595	1362	923
596	1363	920
597	1365	917
598	1366	914
599	1367	911
600	1368	908
601	1370	905
602	1371	903
603	1374	900
604	1375	898
605	1377	895
606	1379	892
607	1380	889
608	1381	887
609	1382	884
610	1384	881
611	1386	878
612	1387	875
613	1388	873
614	1390	870
615	1391	867
616	1392	864
617	1393	861
618	1395	858
619	1396	855
620	1397	852
621	1398	850
622	1400	847
623	1401	844
624	1402	841
625	1403	838
626	1404	835
627	1405	832
628	1407	829
629	1408	827
630	1409	824
631	1410	821
632	1411	818
633	1413	815
634	1414	813
635	1415	810
636	1416	807
637	1418	804
638	1419	801
639	1420	799
640	1421	796
641	1422	793
642	1423	790
643	1425	787
644	1426	785
645	1427	782
646	1428	779
647	1430	776
648	1431	774
649	1432	771
650	1433	768
651	1434	765
652	1436	763
653	1437	760
654	1438	757
655	1439	755
656	1441	752
657	1442	749
658	1443	746
659	1444	744
660	1445	741
661	1447	738
662	1448	736
663	1449	733
664	1450	730
665	1451	728
666	1453	725
667	1454	723
668	1456	720
669	1457	718
670	1460	716
671	1462	713
672	1464	711
673	1465	708
674	1466	706
675	1468	703
676	1469	701
677	1470	698
678	1472	696
679	1473	693
680	1475	690
681	1476	688
682	1477	685
683	1478	683
684	1480	680
685	1481	677
686	1482	675
687	1483	672
688	1484	670
689	1486	667
690	1488	665
691	1489	662
692	1490	660
693	1491	657
694	1493	655
695	1494	652
696	1495	650
697	1496	647
698	1498	645
699	1499	642
700	1500	640
701	1501	637
702	1502	634
703	1504	632
704	1505	629
705	1506	627
706	1507	624
707	1508	622
708	1509	619
709	1511	617
710	1512	614
711	1513	612
712	1514	609
713	1515	607
714	1517	604
715	1518	602
716	1519	599
717	1520	597
718	1522	594
719	1523	592
720	1524	589
721	1525	587
722	1526	585
723	1528	582
724	1529	580
725	1530	577
726	1531	575
727	1533	572
728	1534	570
729	1535	567
730	1536	565
731	1537	563
732	1539	560
733	1540	558
734	1541	555
735	1542	553
736	1544	550
737	1545	548
738	1546	546
739	1547	543
740	1549	541
741	1550	539
742	1551	536
743	1552	534
744	1553	531
745	1555	529
746	1556	527
747	1557	524
748	1558	522
749	1560	520
750	1561	517
751	1562	515
752	1563	512
753	1564	510
754	1566	508
755	1567	505
756	1568	503
757	1570	501
758	1571	498
759	1572	496
760	1573	494
761	1575	492
762	1577	489
763	1578	487
764	1579	485
765	1580	482
766	1582	480
767	1583	478
768	1584	475
769	1585	473
770	1587	471
771	1588	469
772	1590	466
773	1591	464
774	1592	462
775	1593	460
776	1595	457
777	1596	455
778	1597	453
779	1599	451
780	1600	448
781	1601	446
782	1604	444
783	1605	442
784	1606	440
785	1607	437
786	1609	435
787	1610	433
788	1611	431
789	1612	428
790	1614	426
791	1615	424
792	1616	422
793	1618	420
794	1620	417
795	1621	415
796	1622	413
797	1623	411
798	1625	408
799	1626	406
800	1627	404
801	1628	402
802	1629	399
803	1631	397
804	1633	395
805	1634	393
806	1636	391
807	1637	389
808	1638	386
809	1639	384
810	1640	382
811	1642	380
812	1643	377
813	1644	375
814	1646	373
815	1647	371
816	1649	369
817	1650	367
818	1651	364
819	1652	362
820	1653	360
821	1655	358
822	1656	356
823	1657	354
824	1658	351
825	1659	349
826	1661	347
827	1662	345
828	1664	343
829	1665	341
830	1666	338
831	1667	336
832	1668	334
833	1670	332
834	1671	330
835	1672	328
836	1673	325
837	1675	323
838	1677	321
839	1678	319
840	1679	317
841	1681	315
842	1682	313
843	1683	311
844	1684	309
845	1685	306
846	1686	304
847	1688	302
848	1689	300
849	1691	298
850	1693	296
851	1694	294
852	1695	292
853	1696	290
854	1698	287
855	1699	285
856	1700	283
857	1701	281
858	1703	279
859	1704	277
860	1706	275
861	1707	273
862	1709	271
863	1711	269
864	1714	267
865	1715	265
866	1717	263
867	1719	261
868	1721	259
869	1722	257
870	1723	255
871	1725	253
872	1727	251
873	1729	249
874	1730	247
875	1731	245
876	1734	243
877	1735	241
878	1737	239
879	1738	237
880	1740	235
881	1742	233
882	1743	231
883	1745	229
884	1746	226
885	1749	225
886	1752	223
887	1754	221
888	1755	219
889	1756	217
890	1757	215
891	1759	213
892	1760	210
893	1761	208
894	1763	206
895	1765	204
896	1766	202
897	1768	200
898	1770	198
899	1771	196
900	1773	194
901	1774	192
902	1775	190
903	1778	188
904	1780	186
905	1781	184
906	1782	182
907	1784	180
908	1785	178
909	1786	176
910	1787	174
911	1788	172
912	1790	170
913	1792	168
914	1794	166
915	1795	164
916	1796	162
917	1797	160
918	1800	158
919	1802	156
920	1803	154
921	1804	152
922	1807	150
923	1809	148
924	1810	146
925	1811	144
926	1813	142
927	1814	140
928	1815	138
929	1816	136
930	1817	134
931	1820	132
932	1821	130
933	1822	128
934	1823	126
935	1824	124
936	1826	122
937	1827	120
938	1828	118
939	1829	116
940	1830	114
941	1832	112
942	1833	110
943	1834	108
944	1836	106
945	1837	104
946	1839	102
947	1840	100
948	1842	98
949	1843	97
950	1844	95
951	1845	93
952	1847	91
953	1848	89
954	1850	87
955	1851	85
956	1852	83
957	1855	81
958	1857	79
959	1858	77
960	1859	75
961	1860	73
962	1862	71
963	1864	69
964	1866	67
965	1867	65
966	1868	63
967	1870	61
968	1871	59
969	1872	57
970	1873	55
971	1874	54
972	1876	52
973	1878	50
974	1879	48
975	1881	46
976	1882	44
977	1884	42
978	1885	40
979	1888	38
980	1889	36
981	1892	34
982	1894	32
983	1896	30
984	1897	28
985	1898	26
986	1900	25
987	1901	23
988	1902	21
989	1903	19
990	1904	17
991	1907	15
992	1908	13
993	1909	11
994	1911	9
995	1912	7
996	1915	5
997	1916	3
998	1918	1
999	1919	0
